datetime,symbol,month,open,high,low,close,volume
2020-02-10 09:30:00,IWM,2020-02,164.56,165.080002,164.46001,164.96001,1113593
2020-02-10 09:45:00,IWM,2020-02,164.95,165.14999,164.56,165.14999,510657
2020-02-10 10:00:00,IWM,2020-02,165.14999,165.28999,165.059998,165.080002,404023
2020-02-10 10:15:00,IWM,2020-02,165.074997,165.25,164.94,165.020004,601531
2020-02-10 10:30:00,IWM,2020-02,165.020004,165.21001,164.89,165.080002,240620
2020-02-10 10:45:00,IWM,2020-02,165.11,165.28,165.070007,165.19501,345210
2020-02-10 11:00:00,IWM,2020-02,165.19501,165.41,165.1714,165.25,286862
2020-02-10 11:15:00,IWM,2020-02,165.24001,165.39,165.23,165.345,325961
2020-02-10 11:30:00,IWM,2020-02,165.36,165.39,165.215,165.28,277370
2020-02-10 11:45:00,IWM,2020-02,165.28,165.45,165.14999,165.17999,682597
2020-02-10 12:00:00,IWM,2020-02,165.17,165.32001,165.080002,165.28,303496
2020-02-10 12:15:00,IWM,2020-02,165.28999,165.28999,165.16,165.27,88694
2020-02-10 12:30:00,IWM,2020-02,165.25999,165.28,165.039993,165.14,219863
2020-02-10 12:45:00,IWM,2020-02,165.14999,165.21001,165.070007,165.17,166155
2020-02-10 13:00:00,IWM,2020-02,165.17,165.33,165.161,165.32001,252223
2020-02-10 13:15:00,IWM,2020-02,165.31,165.33,165.22501,165.25,274687
2020-02-10 13:30:00,IWM,2020-02,165.24001,165.3,165.23,165.28,145573
2020-02-10 13:45:00,IWM,2020-02,165.27499,165.3,165.12,165.2,257918
2020-02-10 14:00:00,IWM,2020-02,165.19,165.25999,165.13,165.23,138899
2020-02-10 14:15:00,IWM,2020-02,165.235,165.34,165.23,165.34,182484
2020-02-10 14:30:00,IWM,2020-02,165.34,165.45,165.31,165.41,175242
2020-02-10 14:45:00,IWM,2020-02,165.41499,165.5,165.37,165.45,285503
2020-02-10 15:00:00,IWM,2020-02,165.45,165.64999,165.435,165.59,380724
2020-02-10 15:15:00,IWM,2020-02,165.59,165.66499,165.535,165.62,394207
2020-02-10 15:30:00,IWM,2020-02,165.62,165.73,165.56,165.72,784242
2020-02-10 15:45:00,IWM,2020-02,165.715,165.89,165.62,165.86,1389577
2020-02-11 09:30:00,IWM,2020-02,166.78999,166.88,166.2679,166.69,1361253
2020-02-11 09:45:00,IWM,2020-02,166.69,167.19,166.64,167.11,566087
2020-02-11 10:00:00,IWM,2020-02,167.12,167.92999,167.12,167.925,1468164
2020-02-11 10:15:00,IWM,2020-02,167.9207,167.96001,167.55,167.5779,1129332
2020-02-11 10:30:00,IWM,2020-02,167.575,167.78,167.39,167.61,395528
2020-02-11 10:45:00,IWM,2020-02,167.61,167.64999,167.2973,167.38,312858
2020-02-11 11:00:00,IWM,2020-02,167.38,167.5,167.020004,167.020004,682693
2020-02-11 11:15:00,IWM,2020-02,167.024994,167.16,166.89999,167.039993,269687
2020-02-11 11:30:00,IWM,2020-02,167.029999,167.029999,166.64999,166.97,336620
2020-02-11 11:45:00,IWM,2020-02,166.98,167.17999,166.89,167.059998,233239
2020-02-11 12:00:00,IWM,2020-02,167.080002,167.33501,166.98,167.17999,336087
2020-02-11 12:15:00,IWM,2020-02,167.19,167.39,167.17999,167.37379,187787
2020-02-11 12:30:00,IWM,2020-02,167.375,167.47501,167.31,167.38,354796
2020-02-11 12:45:00,IWM,2020-02,167.38,167.39999,167.16,167.28999,290095
2020-02-11 13:00:00,IWM,2020-02,167.3,167.32001,167.16,167.25999,363505
2020-02-11 13:15:00,IWM,2020-02,167.27,167.42,167.25,167.36,180133
2020-02-11 13:30:00,IWM,2020-02,167.36,167.44,167.21001,167.39,598674
2020-02-11 13:45:00,IWM,2020-02,167.38,167.41,166.92999,167.11,261015
2020-02-11 14:00:00,IWM,2020-02,167.12,167.16,166.87,166.87,219250
2020-02-11 14:15:00,IWM,2020-02,166.87,166.98,166.67,166.86,768932
2020-02-11 14:30:00,IWM,2020-02,166.87,167.13,166.765,167.080002,592999
2020-02-11 14:45:00,IWM,2020-02,167.080002,167.11,166.87,166.91,492035
2020-02-11 15:00:00,IWM,2020-02,166.92,166.985,166.7,166.74001,306264
2020-02-11 15:15:00,IWM,2020-02,166.74001,166.95,166.57001,166.95,412520
2020-02-11 15:30:00,IWM,2020-02,166.96001,167.050003,166.89999,167.0,449333
2020-02-11 15:45:00,IWM,2020-02,167.0099945,167.0099945,166.75,166.97,1226948
2020-02-12 09:30:00,IWM,2020-02,168.039993,168.28999,167.75,167.85001,1315733
2020-02-12 09:45:00,IWM,2020-02,167.84,167.89999,167.47501,167.55499,906433
2020-02-12 10:00:00,IWM,2020-02,167.57001,167.75,167.28,167.565,548043
2020-02-12 10:15:00,IWM,2020-02,167.57001,167.64999,167.47,167.53999,317296
2020-02-12 10:30:00,IWM,2020-02,167.53999,167.71001,167.45,167.53999,194103
2020-02-12 10:45:00,IWM,2020-02,167.53999,167.64999,167.45,167.48,161997
2020-02-12 11:00:00,IWM,2020-02,167.49001,167.62,167.465,167.53,159220
2020-02-12 11:15:00,IWM,2020-02,167.53,167.71001,167.42,167.69,282792
2020-02-12 11:30:00,IWM,2020-02,167.69,167.75999,167.55,167.61,199463
2020-02-12 11:45:00,IWM,2020-02,167.605,167.69209,167.55,167.60001,90854
2020-02-12 12:00:00,IWM,2020-02,167.61501,167.75,167.50999,167.515,153518
2020-02-12 12:15:00,IWM,2020-02,167.50999,167.69,167.48,167.69,160356
2020-02-12 12:30:00,IWM,2020-02,167.685,167.89999,167.64999,167.89,134182
2020-02-12 12:45:00,IWM,2020-02,167.89,167.92999,167.82001,167.88499,195470
2020-02-12 13:00:00,IWM,2020-02,167.8884,167.89999,167.72211,167.78999,268512
2020-02-12 13:15:00,IWM,2020-02,167.78999,167.8,167.63,167.77,269866
2020-02-12 13:30:00,IWM,2020-02,167.77499,167.92999,167.75999,167.875,156304
2020-02-12 13:45:00,IWM,2020-02,167.88,168.059998,167.87,168.024994,113528
2020-02-12 14:00:00,IWM,2020-02,168.020004,168.19,168.0099945,168.089996,260838
2020-02-12 14:15:00,IWM,2020-02,168.089996,168.12,167.955,167.96001,424187
2020-02-12 14:30:00,IWM,2020-02,167.965,168.10001,167.92999,168.039993,124072
2020-02-12 14:45:00,IWM,2020-02,168.050003,168.17,168.050003,168.11,233193
2020-02-12 15:00:00,IWM,2020-02,168.11,168.21001,167.92,167.98,382343
2020-02-12 15:15:00,IWM,2020-02,167.98,168.11,167.92999,168.074997,984734
2020-02-12 15:30:00,IWM,2020-02,168.074997,168.14,168.024994,168.105,668899
2020-02-12 15:45:00,IWM,2020-02,168.105,168.17,168.024994,168.070007,1722287
2020-02-13 09:30:00,IWM,2020-02,167.22,168.16,167.14999,167.94,1300243
2020-02-13 09:45:00,IWM,2020-02,167.96001,168.14999,167.39999,167.4025,766193
2020-02-13 10:00:00,IWM,2020-02,167.41499,167.935,167.11,167.86,423216
2020-02-13 10:15:00,IWM,2020-02,167.83,168.074997,167.8,167.97,319931
2020-02-13 10:30:00,IWM,2020-02,167.96001,168.044998,167.72,167.8847,191691
2020-02-13 10:45:00,IWM,2020-02,167.89999,168.16,167.89999,168.13499,456076
2020-02-13 11:00:00,IWM,2020-02,168.13,168.21001,167.92,167.92,278273
2020-02-13 11:15:00,IWM,2020-02,167.91,168.080002,167.83,168.065002,235543
2020-02-13 11:30:00,IWM,2020-02,168.074997,168.39,168.020004,168.23,461823
2020-02-13 11:45:00,IWM,2020-02,168.23,168.25,168.059998,168.17999,121734
2020-02-13 12:00:00,IWM,2020-02,168.17999,168.575,168.17999,168.53,192237
2020-02-13 12:15:00,IWM,2020-02,168.53,168.625,168.49001,168.58,248719
2020-02-13 12:30:00,IWM,2020-02,168.58501,168.64999,168.37,168.405,145584
2020-02-13 12:45:00,IWM,2020-02,168.41,168.49001,168.16,168.16,308277
2020-02-13 13:00:00,IWM,2020-02,168.16,168.28999,168.13499,168.2,228921
2020-02-13 13:15:00,IWM,2020-02,168.2,168.46001,168.1002,168.46001,152151
