index,train_start,train_end,test_start,test_end,trades,sharpe_ratio,total_return,max_drawdown,train_sharpe,train_total_return,train_max_drawdown,passed,reasons
1,2020-02-10,2022-02-09,2022-02-10,2023-02-09,0,0.0,0.0,0.0,-24.08,-0.04,-0.04,True,trades 0 < 25; sharpe 0.00 < 0.40; grace window 1/2 bypass
2,2020-02-10,2023-02-09,2023-02-10,2024-02-09,0,0.0,0.0,0.0,-0.1,0.16,-0.73,True,trades 0 < 25; sharpe 0.00 < 0.40; grace window 2/2 bypass
3,2020-02-10,2024-02-09,2024-02-10,2025-02-09,118,-0.25,-641.66,641.66,-25.12,-0.04,-0.04,False,sharpe -0.25 < 0.40; max_dd 641.66 > 18.00
