index,train_start,train_end,test_start,test_end,trades,sharpe_ratio,total_return,max_drawdown,train_sharpe,train_total_return,train_max_drawdown,passed,reasons
1,2020-02-10,2022-02-09,2022-02-10,2023-02-09,147,-1.83,-15.66,18.1,-6.76,-1.22,-1.5,True,sharpe -1.83 < 0.40; max_dd 18.10 > 18.00; grace window 1/2 bypass
2,2020-02-10,2023-02-09,2023-02-10,2024-02-09,5425,-0.42,-30.44,46.66,1.2,0.62,-0.95,True,sharpe -0.42 < 0.40; max_dd 46.66 > 18.00; grace window 2/2 bypass
3,2020-02-10,2024-02-09,2024-02-10,2025-02-09,0,0.0,0.0,0.0,-2.4,0.12,-0.01,False,trades 0 < 25; sharpe 0.00 < 0.40
4,2020-02-10,2025-02-09,2025-02-10,2025-11-10,52,-2.3,-0.46,4.04,-6.16,-0.59,-0.61,False,sharpe -2.30 < 0.40
